timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724164319881,3229,HTTP Request,200,OK,Thread Group 1-637,text,true,,309,433,861,861,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3229,0,3132
1724164319205,3907,HTTP Request,200,OK,Thread Group 1-511,text,true,,309,433,861,861,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3907,0,3822
1724164318725,4389,HTTP Request,200,OK,Thread Group 1-205,text,true,,309,433,861,861,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4389,0,4242
1724164322144,976,HTTP Request,200,OK,Thread Group 1-737,text,true,,309,433,862,862,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,976,0,888
1724164318693,4432,HTTP Request,200,OK,Thread Group 1-109,text,true,,309,433,862,862,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4432,0,4289
1724164318513,4623,HTTP Request,200,OK,Thread Group 1-143,text,true,,309,433,865,865,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4623,0,4521
1724164318505,4632,HTTP Request,200,OK,Thread Group 1-17,text,true,,309,433,865,865,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4632,0,4530
1724164318706,4435,HTTP Request,200,OK,Thread Group 1-322,text,true,,309,433,867,867,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4435,0,4331
1724164318555,4586,HTTP Request,200,OK,Thread Group 1-256,text,true,,309,433,867,867,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4586,0,4486
1724164318842,4310,HTTP Request,200,OK,Thread Group 1-42,text,true,,309,433,868,868,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4310,0,4207
1724164319124,3972,HTTP Request,200,OK,Thread Group 1-500,text,true,,309,433,861,861,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3972,0,3870
1724164320623,2138,HTTP Request,200,OK,Thread Group 1-671,text,true,,309,433,841,841,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2138,0,2036
1724164322046,1059,HTTP Request,200,OK,Thread Group 1-729,text,true,,309,433,861,861,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1059,0,972
1724164320653,2434,HTTP Request,200,OK,Thread Group 1-672,text,true,,309,433,859,859,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2434,0,2326
1724164320610,2494,HTTP Request,200,OK,Thread Group 1-670,text,true,,309,433,861,861,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2494,0,2419
1724164319747,3355,HTTP Request,200,OK,Thread Group 1-617,text,true,,309,433,861,861,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3355,0,3272
1724164318818,3988,HTTP Request,200,OK,Thread Group 1-364,text,true,,309,433,844,844,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3988,0,3858
1724164318589,4774,HTTP Request,200,OK,Thread Group 1-272,text,true,,309,433,871,871,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4774,0,4114
1724164318642,4708,HTTP Request,200,OK,Thread Group 1-203,text,true,,309,433,872,870,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4708,0,4577
1724164319825,3542,HTTP Request,200,OK,Thread Group 1-631,text,true,,309,433,869,869,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3542,0,2859
1724164320810,2559,HTTP Request,200,OK,Thread Group 1-677,text,true,,309,433,870,870,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2559,0,1872
1724164320374,2722,HTTP Request,200,OK,Thread Group 1-659,text,true,,309,433,861,861,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2722,0,2619
1724164318639,4711,HTTP Request,200,OK,Thread Group 1-195,text,true,,309,433,872,868,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4711,0,4572
1724164319872,2847,HTTP Request,200,OK,Thread Group 1-635,text,true,,309,433,841,841,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2847,0,2759
1724164320451,2935,HTTP Request,200,OK,Thread Group 1-664,text,true,,309,433,866,866,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2934,0,2102
1724164318788,4599,HTTP Request,200,OK,Thread Group 1-163,text,true,,309,433,865,865,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4599,0,4456
1724164318766,4585,HTTP Request,200,OK,Thread Group 1-106,text,true,,309,433,872,865,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4585,0,3919
1724164318953,4140,HTTP Request,200,OK,Thread Group 1-420,text,true,,309,433,860,860,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4140,0,4021
1724164318881,4210,HTTP Request,200,OK,Thread Group 1-387,text,true,,309,433,860,860,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4210,0,4057
1724164321426,1969,HTTP Request,200,OK,Thread Group 1-699,text,true,,309,433,862,862,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1969,0,1321
1724164322173,1176,HTTP Request,200,OK,Thread Group 1-740,text,true,,309,433,872,860,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1176,0,501
1724164318692,4707,HTTP Request,200,OK,Thread Group 1-97,text,true,,309,433,859,859,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4707,0,4013
1724164319886,3514,HTTP Request,200,OK,Thread Group 1-639,text,true,,309,433,859,859,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3514,0,2880
1724164318765,4639,HTTP Request,200,OK,Thread Group 1-120,text,true,,309,433,857,857,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4639,0,4010
1724164318639,4765,HTTP Request,200,OK,Thread Group 1-303,text,true,,309,433,857,857,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4765,0,4089
1724164320688,2659,HTTP Request,200,OK,Thread Group 1-673,text,true,,309,433,872,855,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2659,0,2527
1724164318689,4719,HTTP Request,200,OK,Thread Group 1-135,text,true,,309,433,854,854,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4719,0,4008
1724164319345,4063,HTTP Request,200,OK,Thread Group 1-588,text,true,,309,433,854,854,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4063,0,3540
1724164318770,4320,HTTP Request,200,OK,Thread Group 1-76,text,true,,309,433,860,860,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4320,0,4234
1724164321660,1749,HTTP Request,200,OK,Thread Group 1-708,text,true,,309,433,852,852,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1749,0,1582
1724164318742,4668,HTTP Request,200,OK,Thread Group 1-191,text,true,,309,433,851,851,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4668,0,4034
1724164318629,4785,HTTP Request,200,OK,Thread Group 1-215,text,true,,309,433,849,849,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4785,0,4635
1724164318673,4744,HTTP Request,200,OK,Thread Group 1-85,text,true,,309,433,849,849,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4744,0,4046
1724164318688,4730,HTTP Request,200,OK,Thread Group 1-99,text,true,,309,433,848,848,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4730,0,4559
1724164318679,4743,HTTP Request,200,OK,Thread Group 1-316,text,true,,309,433,847,847,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4743,0,4595
1724164319271,4152,HTTP Request,200,OK,Thread Group 1-553,text,true,,309,433,847,847,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4152,0,3497
