timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724230910417,4457,HTTP Request,200,OK,Thread Group 1-172,text,true,,309,433,623,623,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4457,0,3442
1724230912835,1862,HTTP Request,200,OK,Thread Group 1-481,text,true,,309,433,610,610,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1862,0,1799
1724230910536,4160,HTTP Request,200,OK,Thread Group 1-120,text,true,,309,433,610,610,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4160,0,4141
1724230910816,3688,HTTP Request,200,OK,Thread Group 1-322,text,true,,309,433,592,592,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3688,0,3440
1724230913381,1029,HTTP Request,200,OK,Thread Group 1-526,text,true,,309,433,584,584,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1029,0,953
1724230912854,1840,HTTP Request,200,OK,Thread Group 1-483,text,true,,309,433,610,610,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1840,0,1825
1724230910423,4465,HTTP Request,200,OK,Thread Group 1-33,text,true,,309,433,626,626,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4465,0,3590
1724230910636,3868,HTTP Request,200,OK,Thread Group 1-248,text,true,,309,433,592,592,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3868,0,3605
1724230913079,1427,HTTP Request,200,OK,Thread Group 1-509,text,true,,309,433,592,592,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1427,0,1411
1724230910333,4076,HTTP Request,200,OK,Thread Group 1-138,text,true,,309,433,584,584,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4076,0,3579
1724230912758,1613,HTTP Request,200,OK,Thread Group 1-447,text,true,,309,433,578,578,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1613,0,1412
1724230913660,1232,HTTP Request,200,OK,Thread Group 1-547,text,true,,309,433,621,621,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1232,0,371
1724230910398,4282,HTTP Request,200,OK,Thread Group 1-57,text,true,,309,433,609,609,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4282,0,4258
1724230910774,4125,HTTP Request,200,OK,Thread Group 1-301,text,true,,309,433,620,620,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4125,0,4090
1724230910763,4138,HTTP Request,200,OK,Thread Group 1-298,text,true,,309,433,619,619,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4138,0,4099
1724230914473,206,HTTP Request,200,OK,Thread Group 1-590,text,true,,309,433,609,609,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,206,0,189
1724230914750,152,HTTP Request,200,OK,Thread Group 1-615,text,true,,309,433,618,618,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,152,0,121
1724230913043,1862,HTTP Request,200,OK,Thread Group 1-507,text,true,,309,433,615,615,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1862,0,1848
1724230910539,4369,HTTP Request,200,OK,Thread Group 1-210,text,true,,309,433,614,614,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4369,0,4345
1724230913473,1437,HTTP Request,200,OK,Thread Group 1-530,text,true,,309,433,613,613,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1437,0,539
1724230912746,2164,HTTP Request,200,OK,Thread Group 1-436,text,true,,309,433,613,613,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2164,0,2124
1724230910434,3973,HTTP Request,200,OK,Thread Group 1-41,text,true,,309,433,583,583,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3973,0,3712
1724230910511,4401,HTTP Request,200,OK,Thread Group 1-45,text,true,,309,433,610,610,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4401,0,4362
1724230910900,4012,HTTP Request,200,OK,Thread Group 1-341,text,true,,309,433,610,610,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4012,0,3125
1724230914354,323,HTTP Request,200,OK,Thread Group 1-578,text,true,,309,433,609,609,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,323,0,303
1724230910427,4486,HTTP Request,200,OK,Thread Group 1-11,text,true,,309,433,608,608,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4486,0,3426
1724230910418,4496,HTTP Request,200,OK,Thread Group 1-50,text,true,,309,433,607,607,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4496,0,3593
1724230910657,4258,HTTP Request,200,OK,Thread Group 1-258,text,true,,309,433,606,606,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,4258,0,3202
