timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1724221647881,424,HTTP Request,200,OK,Thread Group 1-601,text,true,,309,433,623,623,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,424,0,276
1724221646312,3493,HTTP Request,200,OK,Thread Group 1-337,text,true,,309,433,704,704,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3493,0,3465
1724221646740,2723,HTTP Request,200,OK,Thread Group 1-469,text,true,,309,433,673,673,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2723,0,2690
1724221646151,2492,HTTP Request,200,OK,Thread Group 1-279,text,true,,309,433,634,634,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2492,0,2442
1724221646798,1846,HTTP Request,200,OK,Thread Group 1-496,text,true,,309,433,634,634,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1846,0,1776
1724221645940,2705,HTTP Request,200,OK,Thread Group 1-84,text,true,,309,433,634,634,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2705,0,2671
1724221648406,241,HTTP Request,200,OK,Thread Group 1-626,text,true,,309,433,634,634,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,241,0,219
1724221646003,3843,HTTP Request,200,OK,Thread Group 1-45,text,true,,309,433,701,701,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3843,0,3833
1724221645927,2726,HTTP Request,200,OK,Thread Group 1-187,text,true,,309,433,634,634,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2726,0,2706
1724221648210,445,HTTP Request,200,OK,Thread Group 1-621,text,true,,309,433,634,634,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,445,0,412
1724221646894,1763,HTTP Request,200,OK,Thread Group 1-517,text,true,,309,433,634,634,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1763,0,1703
1724221646157,2502,HTTP Request,200,OK,Thread Group 1-280,text,true,,309,433,634,634,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2502,0,2451
1724221645966,2699,HTTP Request,200,OK,Thread Group 1-88,text,true,,309,433,634,634,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2699,0,2671
1724221645965,2712,HTTP Request,200,OK,Thread Group 1-74,text,true,,309,433,635,635,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2712,0,2665
1724221646385,2298,HTTP Request,200,OK,Thread Group 1-363,text,true,,309,433,635,635,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2298,0,2255
1724221646886,1798,HTTP Request,200,OK,Thread Group 1-516,text,true,,309,433,635,635,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1798,0,1756
1724221646392,2292,HTTP Request,200,OK,Thread Group 1-366,text,true,,309,433,635,635,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2292,0,2267
1724221647649,1040,HTTP Request,200,OK,Thread Group 1-588,text,true,,309,433,635,635,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,1040,0,1013
1724221645934,2755,HTTP Request,200,OK,Thread Group 1-188,text,true,,309,433,635,635,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2755,0,2729
1724221646012,2678,HTTP Request,200,OK,Thread Group 1-26,text,true,,309,433,635,635,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2678,0,2620
1724221646004,2692,HTTP Request,200,OK,Thread Group 1-110,text,true,,309,433,636,636,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2692,0,2625
1724221646014,2691,HTTP Request,200,OK,Thread Group 1-27,text,true,,309,433,636,636,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2691,0,2647
1724221645887,2830,HTTP Request,200,OK,Thread Group 1-159,text,true,,309,433,636,636,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2830,0,2793
1724221646859,2073,HTTP Request,200,OK,Thread Group 1-514,text,true,,309,433,649,649,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2073,0,2034
1724221646746,2686,HTTP Request,200,OK,Thread Group 1-471,text,true,,309,433,673,673,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2686,0,2385
1724221646437,2974,HTTP Request,200,OK,Thread Group 1-385,text,true,,309,433,673,673,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,2974,0,2913
1724221645964,3467,HTTP Request,200,OK,Thread Group 1-5,text,true,,309,433,673,673,https://npdlqpxkb7.execute-api.ap-south-1.amazonaws.com/switch2/pnotif,3467,0,3265
